caldt,b5ret,b1ret,t30ret
19731231,0.045593,0.058545,0.070586
19741231,0.054820,0.083023,0.080781
19751231,0.080709,0.087936,0.058210
19761231,0.124046,0.082016,0.051557
19771230,0.019474,0.047571,0.051521
19781229,0.014017,0.050059,0.073081
19791231,0.056721,0.091340,0.106899
19801231,0.038129,0.110090,0.115229
19811231,0.064997,0.153558,0.148558
19821231,0.283259,0.189623,0.106643
19831230,0.069908,0.093437,0.088471
19841231,0.148721,0.130524,0.099557
19851231,0.211688,0.114341,0.076767
19861231,0.161610,0.090515,0.060571
19871231,0.026125,0.066111,0.053845
19881230,0.057869,0.066996,0.063228
19891229,0.138361,0.104549,0.082206
19901231,0.097125,0.097657,0.076799
19911231,0.155827,0.097469,0.055065
19921231,0.073027,0.056479,0.034015
19931231,0.101623,0.041296,0.028994
19941230,-0.035880,0.023245,0.038800
19951229,0.171076,0.083992,0.055318
19961231,0.028983,0.055055,0.051449
19971231,0.079128,0.062429,0.050819
19981231,0.093144,0.061431,0.047811
19991231,-0.013631,0.043106,0.045608
20001229,0.124832,0.069920,0.057559
20011231,0.082663,0.074351,0.037786
20021231,0.131414,0.034147,0.016339
20031231,0.028316,0.014680,0.010182
20041231,0.023357,0.006780,0.012005
20051230,0.006417,0.022705,0.029633
20061229,0.027326,0.041550,0.047855
20071231,0.101484,0.059550,0.046747
20081231,0.130992,0.046384,0.014742
20091231,-0.024850,0.005438,0.000966
20101231,0.060326,0.005810,0.001216
20111230,0.089274,0.003515,0.000428
20121231,0.024179,0.001726,0.000565
20131231,-0.023583,0.003387,0.000277
20141231,0.037733,0.002411,0.000164
